HDFC BANK LIMITED - STATEMENT OF ACCOUNT
Account No :,50200012345678
Account Branch :,BERHAMPUR ODISHA
Statement From :,05/03/26

Date,Narration,Chq./Ref.No.,Value Dt,Withdrawal Amt.,Deposit Amt.,Closing Balance
18/03/26,MB/UTI8260314979/RAZORPAYSOFT/PAYOUT                        ,BR8221840453,17/03/26,,"95,439.95","31,40,089.40"
18/03/26,RAZORPAY SETTLEMENT PART 3/3 HDFC260303927021/3             ,BR8879398581-P3,17/03/26,,"3,520.26","31,43,609.66"
18/03/26,MB/ICIC26O316/RAZORPAYSOFT/PAYOUT                           ,BR2376844793,18/03/26,,"7,233.27","31,50,842.93"
18/03/26,ACH C- RAZORPAY-SETTLEMENT-SB1N26031394                     ,BR2535475969,18/03/26,,295.09,"31,51,138.02"
18/03/26,RAZORPAY SETTLEMENT KKBK260313854442                        ,BR2918827562,18/03/26,,"7,119.72","31,58,257.74"
18/03/26,REV/RETURN NEFT UTIB260314276733 BENEFICIARY                ,BR3306445243-REV,18/03/26,"14,496.50",,"31,43,761.24"
18/03/26,RAZORPAY SETTLEMENT UTIB260316693153                        ,BR3693954785,18/03/26,,"95,974.92","32,39,736.16"
18/03/26,RAZORPAY SETTLEMENT SBIN260316086205                        ,BR4082957591,18/03/26,,"28,905.63","32,68,641.79"
18/03/26,RAZORPAY SETTLEMENT HDFC260313033476                        ,BR4206095768,18/03/26,,"1,944.48","32,70,586.27"
18/03/26,RAZORPAY SETTLEMENT SBIN260316113863                        ,BR6548227013,18/03/26,,"30,702.98","33,01,289.25"
18/03/26,MB/HDFC260314304643/RAZORPAYSOFT/PAYOUT                     ,BR7918497683,18/03/26,,"16,497.00","33,17,786.25"
18/03/26,MB/UTIB260316038234/RAZORPAYSOFT/PAYOUT                     ,BR8929808291,18/03/26,,"7,796.06","33,25,582.31"
18/03/26,CCAVENUE PAYOUT 547098948671                                ,ORP00006,18/03/26,,"10,467.00","33,36,049.31"
19/03/26,RAZORPAY SETTLEMENT SBIN260313314146                        ,BR0127301591,18/03/26,,"7,999.00","33,44,048.31"
19/03/26,RAZORPAY SETTLEMENT HDFC260317153665                        ,BR0967123822,19/03/26,,"1,299.00","33,45,347.31"
19/03/26,RE-SETL RAZORPAY UTIB260314276733                           ,BR3306445243-RE,19/03/26,,"14,496.50","33,59,843.81"
19/03/26,RAZORPAY SETTLEMENT ICIC260317107099                        ,BR3500707817,19/03/26,,"2,783.14","33,62,626.95"
19/03/26,ACH C- RAZORPAY-SETTLEMENT-HDFC260317349544                 ,BR4231526358,19/03/26,,"2,927.52","33,65,554.47"
19/03/26,RAZORPAY SETTLEMENT HDFC260317799427                        ,BR6354434891,19/03/26,,"56,374.03","34,21,928.50"
19/03/26,RAZORPAY SETTLEMENT HDFC260316472168                        ,BR8907547033,19/03/26,,"9,032.39","34,30,960.89"
19/03/26,RAZORPAY SETTLEMENT KKBK260317859783                        ,BR9480543328-STALE,19/03/26,,"4,999.00","34,35,959.89"
19/03/26,BY TRANSFER-NEFT*HDFC260313734792/1*RZP                     ,BR9935824276-P1,19/03/26,,"1,838.40","34,37,798.29"
19/03/26,PAYU SETTLEMENT 090868108576                                ,ORP00008,19/03/26,,"63,026.00","35,00,824.29"
20/03/26,RAZORPAY SETTLEMENT UTIB260318962168                        ,BR0088150971,20/03/26,,"32,968.83","35,33,793.12"
20/03/26,RAZORPAY SETTLEMENT HDFC260318388564                        ,BR2946310320,20/03/26,,"16,360.76","35,50,153.88"
20/03/26,TRF FROM RAZORPAY REF HDFC26031766 CR                       ,BR5014110643,20/03/26,,"6,344.83","35,56,498.71"
20/03/26,RAZORPAY SETTLEMENT KKBK260317243303                        ,BR6007033086,20/03/26,,"7,246.50","35,63,745.21"
20/03/26,RAZORPAY SETTLEMENT SBIN260318394887                        ,BR8575360163,20/03/26,,"36,500.46","36,00,245.67"
20/03/26,RAZORPAY SETTLEMENT ICIC260318701368                        ,BR8581639363-STALE,20/03/26,,"7,796.06","36,08,041.73"
20/03/26,RAZORPAY SETTLEMENT UTIB260317467726                        ,BR9271852479,20/03/26,,"10,998.50","36,19,040.23"
20/03/26,REV/RETURN NEFT KKBK260317859783 BENEFICIARY                ,BR9480543328-REV,20/03/26,"4,999.00",,"36,14,041.23"
21/03/26,NEFT-HDFC26031896-RAZORPAY SOFTWARE PVT                     ,BR4352824445-P1,21/03/26,,"23,916.48","36,37,957.71"
21/03/26,REV/RETURN NEFT ICIC260318701368 BENEFICIARY                ,BR8581639363-REV,21/03/26,"7,796.06",,"36,30,161.65"
21/03/26,MB/KKBK260317859783/RAZORPAYSOFT/PAYOUT                     ,BR9480543328-RE,21/03/26,,"4,999.00","36,35,160.65"
21/03/26,RAZORPAY SETTLEMENT PART 3/3 HDFC260313734792/3             ,BR9935824276-P3,21/03/26,,183.84,"36,35,344.49"
21/03/26,PAYU SETTLEMENT 731135903828                                ,ORP00002,21/03/26,,"83,275.08","37,18,619.57"
21/03/26,RTGS CR 201814071519 DIRECTORS LOAN                         ,ORP00011,21/03/26,,"3,64,560.18","40,83,179.75"
22/03/26,RAZORPAY SETTLEMENT HDFC260318323409                        ,BR8392253366,20/03/26,,"91,679.16","41,74,858.91"
22/03/26,TRF FROM RAZORPAY REF ICIC260318701368 CR                   ,BR8581639363-RE,22/03/26,,"7,796.06","41,82,654.97"
22/03/26,CASH DEPOSIT BR-Q2                                          ,ORP00003,22/03/26,,"3,909.00","41,86,563.97"
23/03/26,RAZORPAY SETTLEMENT PART 2/3 HDFC260318960727/2             ,BR4352824445-P2,23/03/26,,"9,965.20","41,96,529.17"
23/03/26,RAZORPAY SETTLEMENT PART 2/3 HDFC260313734792/2             ,BR9935824276-P2,23/03/26,,275.76,"41,96,804.93"
24/03/26,RAZORPAY SETTLEMENT KKBK260318587138                        ,BR1675674479,23/03/26,,"28,880.92","42,25,685.85"
24/03/26,RAZORPAY SETTLEMENT ICIC260319046527                        ,BR1257394858,24/03/26,,499.00,"42,26,184.85"
24/03/26,RAZORPAY SETTLEMENT UTIB260320248571                        ,BR1439817957,24/03/26,,"5,203.37","42,31,388.22"
24/03/26,RAZORPAY SETTLEMENT HDFC260322860895                        ,BR2055051823,24/03/26,,"4,513.33","42,35,901.55"
24/03/26,RAZORPAY SETTLEMENT UTIB260320304455                        ,BR2152721796,24/03/26,,"10,434.60","42,46,336.15"
24/03/26,RAZORPAY SETTLEMENT ICIC260320422723                        ,BR2714407492,24/03/26,,"9,298.00","42,55,634.15"
24/03/26,RAZORPAY SETTLEMENT ICIC260320698331                        ,BR3757453583-STALE,24/03/26,,"5,998.46","42,61,632.61"
24/03/26,RAZORPAY SETTLEMENT UTIB260319657227                        ,BR5481092384-STALE,24/03/26,,"17,445.28","42,79,077.89"
24/03/26,RAZORPAY SETTLEMENT SBIN260320757654                        ,BR5758386809,24/03/26,,"1,465.39","42,80,543.28"
24/03/26,NEFT-KKBK2603190-RAZORPAY SOFTWARE PVT                      ,BR8051235847,24/03/26,,"7,212.83","42,87,756.11"
24/03/26,RAZORPAY SETTLEMENT SBIN260322787130                        ,BR8355156885,24/03/26,,"8,233.84","42,95,989.95"
24/03/26,RAZORPAY SETTLEMENT UTIB260319275044                        ,BR8639961607,24/03/26,,"1,39,716.78","44,35,706.73"
25/03/26,NEFT-HDFC260320199-RAZORPAY SOFTWARE PVT                    ,BR2412435979,24/03/26,,"16,423.86","44,52,130.59"
25/03/26,RAZORPAY SETTLEMENT HDFC260321563431                        ,BR4708259035,24/03/26,,"7,458.97","44,59,589.56"
25/03/26,MB/KKBK260320055/RAZORPAYSOFT/PAYOUT                        ,BR8843666944,24/03/26,,"7,489.50","44,67,079.06"
25/03/26,REV/RETURN NEFT ICIC260320698331 BENEFICIARY                ,BR3757453583-REV,25/03/26,"5,998.46",,"44,61,080.60"
25/03/26,NEFT-HDFC26031-RAZORPAY SOFTWARE PVT                        ,BR4352824445-P3,25/03/26,,"5,979.13","44,67,059.73"
25/03/26,REV/RETURN NEFT UTIB260319657227 BENEFICIARY                ,BR5481092384-REV,25/03/26,"17,445.28",,"44,49,614.45"
26/03/26,ACH C- RAZORPAY-SETTLEMENT-UTI82603216                      ,BR8719384842,24/03/26,,"42,581.03","44,92,195.48"
26/03/26,RE-SETL RAZORPAY ICIC260320698331                           ,BR3757453583-RE,26/03/26,,"5,998.46","44,98,193.94"
26/03/26,RAZORPAY SETTLEMENT SBIN260320894293                        ,BR4644816781,26/03/26,,"7,498.00","45,05,691.94"
26/03/26,RE-SETL RAZORPAY UTIB260319657227                           ,BR5481092384-RE,26/03/26,,"17,445.28","45,23,137.22"
26/03/26,TRF FROM RAZORPAY REF KKBK260323 CR                         ,BR5974537528,26/03/26,,"2,499.00","45,25,636.22"
26/03/26,RTGS CR 282208408941 DIRECTORS LOAN                         ,ORP00007,26/03/26,,"3,34,785.96","48,60,422.18"
27/03/26,RAZORPAY SETTLEMENT ICIC260322544648                        ,BR2074629751,26/03/26,,"4,628.03","48,65,050.21"
27/03/26,RAZORPAY SETTLEMENT KKBK260320525622                        ,BR7800739821,26/03/26,,"1,750.32","48,66,800.53"
27/03/26,RAZORPAY SETTLEMENT ICIC260324938797                        ,BR0444070458-STALE,27/03/26,,"4,498.00","48,71,298.53"
27/03/26,RAZORPAY SETTLEMENT KKBK260324895887                        ,BR0846684224,27/03/26,,"2,442.97","48,73,741.50"
27/03/26,RAZORPAY SETTLEMENT KKBK260323757605                        ,BR1347587515,27/03/26,,"3,420.55","48,77,162.05"
27/03/26,RAZORPAY SETTLEMENT KKBK260323029023                        ,BR2041725445,27/03/26,,"1,999.00","48,79,161.05"
27/03/26,RAZORPAY SETTLEMENT HDFC260324162337                        ,BR3351861863,27/03/26,,"24,862.70","49,04,023.75"
27/03/26,RAZORPAY SETTLEMENT KKBK260324426878                        ,BR3716503996,27/03/26,,"13,661.95","49,17,685.70"
27/03/26,RAZORPAY SETTLEMENT HDFC260325566295                        ,BR4037772699,27/03/26,,"9,745.32","49,27,431.02"
27/03/26,RAZORPAY SETTLEMENT ICIC260324702520                        ,BR4492438552,27/03/26,,"19,634.88","49,47,065.90"
27/03/26,RAZORPAY SETTLEMENT SBIN260324040676                        ,BR5198085959-STALE,27/03/26,,"15,150.29","49,62,216.19"
27/03/26,ACH C- RAZORPAY-SETTLEMENT-KKBK260324                       ,BR6069294608,27/03/26,,"7,498.00","49,69,714.19"
27/03/26,IMPS/P2A/ICIC26031/RAZORPAY/SETTL                           ,BR6415260889,27/03/26,,"77,190.34","50,46,904.53"
27/03/26,RAZORPAY SETTLEMENT HDFC260320697768                        ,BR7464629689,27/03/26,,"21,943.33","50,68,847.86"
27/03/26,RAZORPAY SETTLEMENT ICIC260323553024                        ,BR7821465883,27/03/26,,"60,937.75","51,29,785.61"
27/03/26,RAZORPAY SETTLEMENT HDFC260325674488                        ,BR8029001476-STALE,27/03/26,,"4,245.28","51,34,030.89"
27/03/26,RAZORPAY SETTLEMENT HDFC260324734905                        ,BR9253108039,27/03/26,,"9,745.32","51,43,776.21"
28/03/26,RAZORPAY SETTLEMENT UTIB260323952226                        ,BR9868657826,26/03/26,,"24,524.24","51,68,300.45"
28/03/26,TRF FROM RAZORPAY REF UTIB26O324647998 CR                   ,BR1041981446,27/03/26,,"2,435.60","51,70,736.05"
28/03/26,REV/RETURN NEFT ICIC260324938797 BENEFICIARY                ,BR0444070458-REV,28/03/26,"4,498.00",,"51,66,238.05"
28/03/26,REV/RETURN NEFT SBIN260324040676 BENEFICIARY                ,BR5198085959-REV,28/03/26,"15,150.29",,"51,51,087.76"
28/03/26,RAZORPAY SETTLEMENT UTIB260320547047                        ,BR5546611792,28/03/26,,"2,727.01","51,53,814.77"
28/03/26,REV/RETURN NEFT HDFC260325674488 BENEFICIARY                ,BR8029001476-REV,28/03/26,"4,245.28",,"51,49,569.49"
28/03/26,RAZORPAY SETTLEMENT PART 1/3 UTIB260325303712/1             ,BR8925437870-P1,28/03/26,,"5,776.35","51,55,345.84"
28/03/26,RAZORPAY SETTLEMENT UTIB260319827527                        ,BR9414770542,28/03/26,,"52,038.33","52,07,384.17"
29/03/26,RAZORPAY SETTLEMENT UTIB260324752554                        ,BR4514557552,27/03/26,,"3,903.65","52,11,287.82"
29/03/26,RAZORPAY SETTLEMENT PART 2/3 UTIB260325303712/2             ,BR8925437870-P2,28/03/26,,"5,054.31","52,16,342.13"
29/03/26,RE-SETL RAZORPAY ICIC260324938797                           ,BR0444070458-RE,29/03/26,,"4,498.00","52,20,840.13"
29/03/26,RE-SETL RAZORPAY HDFC260325674488                           ,BR8029001476-RE,29/03/26,,"4,245.28","52,25,085.41"
30/03/26,NEFT-UTIB26032530-RAZORPAY SOFTWARE PVT                     ,BR8925437870-P3,29/03/26,,"3,610.23","52,28,695.64"
30/03/26,RAZORPAY SETTLEMENT HDFC260326375176                        ,BR2077328396,30/03/26,,"2,30,127.44","54,58,823.08"
30/03/26,RAZORPAY SETTLEMENT ICIC260326917357                        ,BR2566919240,30/03/26,,"12,996.67","54,71,819.75"
30/03/26,RAZORPAY SETTLEMENT SBIN260325485753                        ,BR3475088721,30/03/26,,"5,368.25","54,77,188.00"
30/03/26,ACH C- RAZORPAY-SETTLEMENT-SBIN26032                        ,BR4276573533,30/03/26,,"2,878.68","54,80,066.68"
30/03/26,RAZORPAY SETTLEMENT HDFC260325675693                        ,BR5066963749,30/03/26,,"13,827.85","54,93,894.53"
30/03/26,TRF FROM RAZORPAY REF HDFC260325921213 CR                   ,BR7483836403,30/03/26,,"5,828.93","54,99,723.46"
30/03/26,RAZORPAY SETTLEMENT SBIN260324840585                        ,BR7500624962-STALE,30/03/26,,"15,998.00","55,15,721.46"
30/03/26,RAZORPAY SETTLEMENT HDFC260326727699                        ,BR7681503240,30/03/26,,"1,11,046.48","56,26,767.94"
30/03/26,RAZORPAY SETTLEMENT ICIC260326038796                        ,BR9008772333,30/03/26,,"13,544.92","56,40,312.86"
31/03/26,RAZORPAY SETTLEMENT KKBK260326129941                        ,BR6802917526,30/03/26,,"16,079.84","56,56,392.70"
